Topic,Count,Name,Representation,Representative_Docs
-1,15,-1_untuk_yang_di_transfer,"['untuk', 'yang', 'di', 'transfer', 'riwayat', 'min', 'aplikasi', 'bayar', 'jadi', 'transaksi']","['aja dulu min mau nanya benar kendala apa yang ada di sistem sampe ratus kali upgrade dari jam sibuk sampe jam tetep tak bisa bagai langgan trs harus sikap gimana upgrade nya saja susah nya minta ampun', 'hai min untuk cek riwayat transfer yang masuk dari pospay lama atau pun loket masih tidak lihat ya', 'untuk riwayat transaksi nya mohon untuk di gabung jadi satu jangan si pisah pisah min jadi pas mau lihat history transaksi transfer bayar dll jadi satu baris lapor seperti pospay versi belum terimakasih']"
0,44,0_verifikasi_email_tidak_susah,"['verifikasi', 'email', 'tidak', 'susah', 'kode', 'masuk', 'ulang', 'kirim', 'bisa', 'otp']","['email verifikasi otp tidak masuk pada', 'susah verifikasi email', 'untuk verifikasi email kode otp nya x tidak kirim']"
1,34,1_keren_jam_bisa_mantap,"['keren', 'jam', 'bisa', 'mantap', 'gk', 'buka', 'bagus', 'lebih', 'gg', 'jelek']","['edun mau buka aja loading nya jam jam bikin males', 'tampil keren warna biru bisa ecek barang dan transaksi mantap', 'hari vertifikasih wajah gk bisa jam kerja sibuk sampai jam tetap gk bisa']"
2,15,2_aplikasi_pada_ga_otp,"['aplikasi', 'pada', 'ga', 'otp', 'di', 'gak', 'mau', 'upgrade', 'kode', 'apk']","['kode otp nya mana belum kasih x kok udah lebih batas minta kalau bikin aplikasi kalau belum sempurna jangan di taruh di playstore', 'aplikasi ga jelas otp ga mau di kirim', 'lagi dan lagi orang yang ngurus aplikasi ini pada tidur pada makan gaji buta ngabisin duit anggar aplikasi pos indonesia pada gak bisa ngirim kode otp']"
3,10,3_pospay_yg_dan_makin,"['pospay', 'yg', 'dan', 'makin', 'lain', 'saja', 'aplikasi', 'tampil', 'ada', 'di']","['makin hari makin bulan aplikasi pospay mobile makin lelet dan sering kembali tiap buka aplikasi', 'apa lg ini aplikasi pospay yg lain saja sistem aman dan lain sja masih bnyk yg kurang ini malah bikin aplikasi pospay yg lain sempurna saja yg sudah da', 'begitu ada versi baru dari pospay yaitu pospay mobile rilis di play store yang awal baru ada an di download langsung saya download daftar dan pakai cara umum lebih fresh dengan tampil warna biru dan makin nyaman di mata lebih ringan daripada yang versi lama tampil tarik canggih dan sistem pantau kelas sistem bank betul dapat nomor rekening giro pos cantik murah di hafal sedikit saran agar pos ind segera aktif beberapa fitur yg masih pending agar makin mantab']"
